Distance (m),Elevation (m)
12118.52821,295.8743591
12128.79715,299.4801636
12139.0661,299.4801636
12149.33505,298.1757507
12159.604,297.8251343
12169.87294,296.0999451
12180.14189,295.1344604
12190.41084,295.1344604
12200.67979,296.4821472
12210.94873,298.3128967
12221.21768,297.7795715
12231.48663,298.0177307
12241.75558,299.141449
12252.02452,299.141449
12262.29347,299.4915161
12272.56242,298.7411804
12282.83137,298.2500305
12293.10031,300.0073547
12303.36926,300.0073547
12313.63821,298.6609802
12323.90716,297.287323
12334.1761,298.6930237
12344.44505,299.0848694
12354.714,299.0848694
12364.98295,300.2555847
12375.25189,297.9225159
12385.52084,295.6044312
12395.78979,295.3215027
12410.53883,294.7634583
12425.28788,294.7634583
12440.03693,294.2163696
12454.78597,293.6694641
12469.53502,289.4975891
12484.28407,289.3021851
12499.03311,295.2354431
12513.78216,295.2354431
12528.53121,298.3931274
12543.28025,300.3343811
12558.0293,300.6080322
12572.77835,300.085907
12587.52739,300.085907
12602.27644,300.2628174
12617.02549,298.0516052
12631.77453,298.4141235
12646.52358,298.2272949
12661.27263,300.4624023
12676.02167,300.4624023
12690.77072,303.4947815
12701.24288,301.6011047
12711.71504,303.0246582
12722.18719,303.7672119
12732.65935,304.2388
12743.13151,304.2388
12753.60367,303.9580383
12764.07583,305.5837402
12774.54798,306.9416504
12785.02014,306.2877808
12795.4923,306.2877808
12805.96446,305.38974
12816.43661,305.2476501
12826.90877,306.1053772
12837.38093,305.2176208
12847.85309,305.2176208
12858.32525,304.4560547
12868.7974,306.454895
12879.26956,307.0351257
12889.74172,307.302002
